Business ID,Name,Address,Coordinates/Latitude,Coordinates/Longitude,Number of Reviews,Rating,Zip Code,CuisineType/S,InsertedAtTimestamp/N
OwcGML0xYT-t4vmMthgOkA,Match 65 Brasserie,29 E 65th St,40.7673434,-73.9682993,280,3.5,10065,french,1697590707
myYOl6CDu1fieWKxXn-1Og,Little Prince,199 Prince St,40.7267198,-74.0027459,373,3.5,10012,french,1697590707
pV-f6jq8mqNWymbPyPNmzg,BOBO,181 W 10th St,40.73449112,-74.00249263,660,4,10014,french,1697590707
FbGw2sPwZZlZuEndVpP2pQ,La Petite Joie,577 Union Ave,40.71771171,-73.9524272,44,4.5,11211,french,1697590707
p6-X_mg5ETcUuV-X4RkPCg,Citroën,931 Manhattan Ave,40.7312,-73.95459,102,4.5,11222,french,1697590707
GBJOu9Rk4JqqWjB8ddYudw,La Mercerie,53 Howard St,40.72022367,-74.00219094,364,3.5,10013,french,1697590707
pDwhlX9jNBGnjvyGR9jYWQ,Gabriel Kreuther,41 W 42nd St,40.754546,-73.982556,621,4.5,10036,french,1697590707
-vBfKWJ1v9YdJQT5XUbcBQ,Le Botaniste,833 Lexington Ave,40.76499863,-73.96598303,475,4.5,10065,french,1697590707
PMJOGt8QQmo-2A4DnUcmZQ,Liberty Bistro,225 Liberty St,40.712344,-74.015511,133,3.5,10080,french,1697590707
8cT6XDwI9KiCaoVohlx42Q,BXL Zoute,50 W 22nd St,40.74174,-73.992627,449,4,10010,french,1697590707
l2b6HJGarUxoeLnM9syTmg,Compagnie des Vins Surnaturels,249 Ctr St,40.7205157,-73.9981652,156,4.5,10013,french,1697590707
6BHKPn6QtTJ0lTZonI-WgQ,The Lavaux,630 Hudson St,40.73835328,-74.00552765,108,4.5,10014,french,1697590707
qOomR3AwClOGpV1HdqOTFg,Les Enfants de Boheme,177 Henry St,40.7136187,-73.9888503,343,4.5,10002,french,1697590707
VpEy7E9fij06n7BRrzvEaw,Le Crocodile,80 Wythe Ave,40.72191,-73.957873,241,4.5,11249,french,1697590707
uUHLcZJPl6swgnopI2C8tw,Mila’s Bistro,81 Ludlow St,40.718115,-73.989501,15,4.5,10002,french,1697590707
7uGPAk8ELYABSzZhXhj7tA,Le Gigot,18 Cornelia St,40.7314099,-74.00197,231,4,10014,french,1697590707
AKWo1tSjYDJ7yisj5YGANQ,The Purple Tongue,410 W 43rd St,40.75931846,-73.99300615,47,4.5,10036,french,1697590707
iQB37FNqD_G5_QMrp9ovnw,Jadis,42 Rivington St,40.72102347,-73.99100541,526,4,10002,french,1697590707
uuDvk4EsRUkeTj4jVKJOpw,Rue 57,60 W 57th St,40.76402853,-73.97703784,1307,3.5,10019,french,1697590707
DZaN3bNWfwcm__sNw5bvDg,Daniel,60 E 65th St,40.76678,-73.96757,1876,4.5,10065,french,1697590707
P2CTp4xyaNCe2AXSiLeOSQ,The Odeon,145 W Broadway,40.71692,-74.00792,769,4,10013,french,1697590707
hD55NUiGDK7STQ8oy9QDPA,Le Monde,2885 Broadway,40.8058021,-73.9658246,582,3,10025,french,1697590707
uby3glEc0Brt9LAoCI0WTg,L’Express,249 Park Ave S,40.7381523,-73.9875849,919,3.5,10003,french,1697590707
fAPkN79fe7Gjq7A6fj6s9Q,Bistro Eloise,75-57 31st Ave,40.75878,-73.89165,300,4.5,11370,french,1697590707
dAHoDxBmzWqfobnTbCHaQA,Frenchette,241 W Broadway,40.71964,-74.00578,356,3.5,10013,french,1697590707
1DfbZ0VsSCg9g1KILmnvzQ,Per Se,10 Columbus Cir,40.76815289,-73.98276296,1872,4.5,10019,french,1697590707
jzN5KHYtrM2rh58iHGVuVA,Levant on Smith,223 Smith St,40.68424,-73.99201,82,4.5,11201,french,1697590707
9w3zIx0-n7qPLQynU8saHA,AOC East,1590 First Ave,40.77469,-73.95075,213,4,10028,french,1697590707
LF2_slTY37P0Ua8vI4Hr5g,Bistro Les Amis,180 Spring St,40.724678,-74.002624,463,4,10012,french,1697590707
Ps0cOZevNA1M9M5_z7W3oQ,Joseph Leonard,170 Waverly Pl,40.73360217,-74.00167541,744,4,10014,french,1697590707
npWACY8WDDyYhMt0s3YFwQ,Vin Sur Vingt,100 Riverside Blvd,40.7757,-73.98948,35,4,10069,french,1697590707
PYcL2z9gHj6-ZTlViT9Nqw,Minetta Tavern,113 Macdougal St,40.7300048,-74.00060738,2460,4,10012,french,1697590707
npiIhpcWePbVT3JYEcy3zg,Wayan,20 Spring St,40.72138131,-73.99507577,657,4,10012,french,1697590707
xN7JOFf3nBBDxvZ1M4Slbg,Barbès Restaurant,1300 Park Ave,40.7529899,-74.02924,313,4,7030,french,1697590707
emTmnLlesIwxRofQ34ntdA,Juliette,135C N 5th St,40.71702,-73.959077,1019,3.5,11249,french,1697590707
PflHKSowWSsR-a76Ne7nzg,La Marchande,88 Wall St,40.70535,-74.00745,42,4,10005,french,1697590707
lw4ZMgn-QBh_5W1ipNHjaw,La Goulue,29 E 61st St,40.76482082,-73.9699213,128,3.5,10065,french,1697590707
oNLUb1G8ul-md-peZlirkg,HOUSE Brooklyn,50 Norman Ave,40.72466,-73.95365,1,5,11222,french,1697590707
NiZ187DLC65811HIJLSS4A,Brasserie Fouquet's,456 Greenwich St,40.7236338,-74.00975968,26,3.5,10013,french,1697590707
VFUHY1Y6pg0UaNmE3CS7cA,Verōnika,281 Park Ave S 22nd St Entrance,40.7392209,-73.9867219,104,4,10010,french,1697590707
6S62Z7e0UP82shutXERUzA,Cafe Du Soleil,2723 Broadway,40.8000739,-73.9682123,558,3.5,10025,french,1697590707
xEDD2ScBU3jHhWxlMC7dkQ,Nougatine at Jean-Georges,1 Central Park W,40.76891,-73.98176,1253,4,10023,french,1697590707
xGQ26ijvBi9DKVVG7DQOlA,Le Moulin a Cafe,1439 York Ave,40.76981507,-73.95187851,402,4,10075,french,1697590707
qLL_x4uzDHCgXd9lwaGxjw,Frevo,48 W 8th St,40.73313,-73.99867,86,4.5,10011,french,1697590707
Bx9ufqCtxxdl2l6pT3J45g,Petrossian Boutique & Cafe,419 W 13st,40.76585,-73.97956,370,4,10014,french,1697590707
Du4yrt8aWlBhOeEjhEH3ww,St Tropez Soho,194 Spring St,40.72498,-74.00328,163,4,10012,french,1697590707
mJeKLz8GC4x6HGWNun1CNA,Bar Bête,263 Smith St,40.6830416,-73.99283371,87,4.5,11231,french,1697590707
iMVaP0rVsQgpvHcASEB8ew,Lena West village,10 Morton St,40.73126866,-74.00359909,24,4.5,10014,french,1697590707
j69WHdRCVQTypfe7hQWauw,Brasserie Cognac East,963 Lexington Ave,40.76911811,-73.96291346,163,3.5,10021,french,1697590707
eoz2NahxyivVRs8Ll9Ljjg,Aldo Sohm Wine Bar,151 W 51st St,40.76134646,-73.98114492,280,4,10019,french,1697590707
qcvGRJT3QedXz7p3_CDmmA,Bel Ami,30 E 68th St,40.7689753,-73.9670732,258,4,10065,french,1697590707
LJfveecaTYurCxv1Al9iFw,Bar Six,502 Ave Of The Americas,40.736389,-73.997146,259,4,10011,french,1697590707
844H9r0tRQZmxiEtjeTW0A,The Bar Room at The Modern,9 W 53rd St,40.76094392,-73.97682308,560,4,10019,french,1697590707
ILwCoB-PD8n9ObGk_sac0A,Recette,103 Havemeyer St,40.713264,-73.95637202,112,4.5,11211,french,1697590707
Knbn0h4MA1KX5Fv3eZfK4w,Nice Matin,201 W 79th St,40.78343707,-73.9784952,865,3.5,10024,french,1697590707
26E3j9l0XW_onVIUP-ThCw,Heidi's House By The Side Of The Road,308 E 78th St,40.772189,-73.955029,664,4.5,10075,french,1697590707
kzd10IXi3dTjoPw0TDj8tA,Osteria Nando,1589 2nd Ave,40.775666,-73.953649,196,4,10028,french,1697590707
CsdS-L70jLn-exz34j8h5Q,L'avenue at Saks,8 East 50th St,40.75826709,-73.9768371,147,4,10022,french,1697590707
cQ7rW55QZOL3HJjh-nmtxw,S'Aimer,338 W 46th St,40.760196,-73.989517,14,4.5,10036,french,1697590707
mosd9Voq5Ws6k6Uduii_ww,Bar Boulud,1900 Broadway,40.77187271,-73.98185637,990,3.5,10023,french,1697590707
RKpp5WskkZmOjpJtRlbY9g,Poulette - Midtown East,304 E 49th St,40.7539939,-73.96858377,79,4,10017,french,1697590707
PnGSE8JGbMZKtdHi9go7Kg,The Milling Room,446 Columbus Ave,40.78354855,-73.97440887,576,4,10024,french,1697590707
9vQca1DMqfbDGssiqEd6Hw,Le Gamin,108 Franklin St,40.728299,-73.957153,249,3.5,11222,french,1697590707
NmzDoAerQUdvMNT90gk4Xw,Addictive NYC,19 West 46th St,40.75655,-73.97996,58,4,10036,french,1697590707
JP51QIvqSr9mTmuxyd5GMA,La Bohème,233 Clinton St,40.74070351,-74.03451685,93,4,7030,french,1697590707
ar2xOWS0wl5yB60GH1uI5w,Chez Olivia,29-11 23rd Ave,40.774977,-73.913251,80,4.5,11105,french,1697590707
6a0hIQTRVP-zlj_AQHrd6A,Rampoldi,49 W 64th St,40.7720947,-73.9813502,1,4,10036,french,1697590707
UMgJCBcvvqgJRTtMIsfcSQ,Blue Bird NYC,106 3rd Ave,40.732804,-73.987855,5,4,10003,french,1697590707
e4YHihk1HFJ1EB7oD7dKDw,Sel et Poivre,853 Lexington Ave,40.765595,-73.965433,163,3.5,10065,french,1697590707
FON3TceJNsTC0I0mzBwOKg,FIG & OLIVE,10 E 52nd St,40.75938,-73.97558,1266,3.5,10022,french,1697590707
o-N9S05IjZdEdzdO6DB3Bw,Selo,33-05 Broadway,40.7613,-73.92335,106,5,11106,french,1697590707
IVjpsmmsgc42k9K2RZR3Qg,Le Fond,105 Norman Ave,40.72584152,-73.95110321,175,4.5,11222,french,1697590707
fPjivOc2AVE5Pvqetv-row,Centurion New York,1 Vanderbilt Ave,40.753022,-73.978485,28,4,10017,french,1697590707
I6optu9x0JAf8oT5lqJ8qw,The Blue Dog Cookhouse & Bar,308 W 50th St,40.76244,-73.98674,1520,4,10019,french,1697590707
kuSkLiSq9gHuytBBOOYeeQ,La Ripaille,605 Hudson St,40.73728,-74.00591,141,4,10014,french,1697590707
Su-MRJLlxUtjU_-V5viYYA,French Roast,2340 Broadway,40.7876417,-73.9765902,656,3,10024,french,1697590707
zV5u8sr2u9x_oxq7BNuKKw,Le Marais,150 W 46th St,40.758,-73.98429,337,3,10036,french,1697590707
7m4GnzK5pv7qGn-Ar1zabQ,Lena,1B West 8th St,40.732552,-73.996704,33,4.5,10011,french,1697590707
JLpEKUYAtzBRQwsUL3RPIA,Il Corso,54 W 55th St,40.762441,-73.977206,446,4.5,10019,french,1697590707
Ih7hLJl-UiGSrBEI3A12gA,Le Charlot,19 E 69th St,40.76974435,-73.966497,147,3,10021,french,1697590707
PBUIaPtgnhmdHE3KHglK-g,Jean-Georges,1 Central Park W,40.76911227,-73.98142907,2005,4,10023,french,1697590707
HbCyzokiA19bEWUp6mga_g,Bibi,211 E 4th St,40.723937,-73.983519,228,4.5,10009,french,1697590707
